,Cand_Name,Cand_Id,Cand_Party_Affiliation,Cand_Office_St,Total_Receipt,Candidate,District,Office Type,Won Primary,Election Race,Num_Candidates,Receipts_Sum,Receipts_Prop
597,"SWANSON, VICTOR",H8IL14141,DEM,IL,80409.88,Victor Swanson,U.S. House Illinois District 14,Representative,0.0,"('U.S. House Illinois District 14', 'Representative')",6,279346.48,0.2878499847214828
598,"SYLVESTER, CHRISTOPHER",H8AZ08091,IND,AZ,8403.13,Christopher Sylvester,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.001105381595363354
599,"TANOOS, WILLIAM",H8IN08141,DEM,IN,229896.74,William Tanoos,U.S. House Indiana District 8,Representative,1.0,"('U.S. House Indiana District 8', 'Representative')",1,229896.74,1.0
600,"TAPIO, NEAL",H8SD00024,REP,SD,182010.0,Neal Tapio,U.S. House South Dakota At-large District,Representative,0.0,"('U.S. House South Dakota At-large District', 'Representative')",3,2535713.92,0.07177860190158991
601,"TAYLOR, BLAINE",S2MD00438,REP,MD,0.0,Blaine Taylor,U.S. Senate Maryland,Senator,0.0,"('U.S. Senate Maryland', 'Senator')",6,41556.17,0.0
602,"TEIJEIRO, ANNETTE",H6NV03097,REP,NV,125877.07,Annette Teijeiro,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.022209359854678666
603,"TEMPLE, SAMUEL",H8TX21240,REP,TX,14581.7,Samuel Temple,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.0024704156012201354
604,"THOMAS, JARED",H8IN04181,REP,IN,46468.26,Jared Thomas,U.S. House Indiana District 4,Representative,0.0,"('U.S. House Indiana District 4', 'Representative')",5,166520.63,0.27905407275963345
605,"THOMAS, KATHI",H8TX25126,DEM,TX,40355.2,Kathi Thomas,U.S. House Texas District 25,Representative,0.0,"('U.S. House Texas District 25', 'Representative')",3,156507.77000000002,0.25784790109781763
606,"THORBURN, ANDY",H8CA39182,DEM,CA,3161418.81,Andy Thorburn,U.S. House California District 39,Representative,0.0,"('U.S. House California District 39', 'Representative')",7,8809080.65,0.35888181021478105
607,"TIEGEL, MARC",H8NC08117,DEM,NC,52578.08,Marc Tiegel,U.S. House North Carolina District 8,Representative,0.0,"('U.S. House North Carolina District 8', 'Representative')",2,67476.3,0.7792081071428042
608,"TILLEMANN, LEVI",H8CO06245,DEM,CO,351801.95,Levi Tillemann,U.S. House Colorado District 6,Representative,0.0,"('U.S. House Colorado District 6', 'Representative')",2,6064348.69,0.058011497686489395
609,"TIPIRNENI, HIRAL",H8AZ08083,DEM,AZ,4579945.1,Hiral Tipirneni,U.S. House Arizona District 8,Representative,1.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.6024644413825058
610,"TLAIB, RASHIDA",H8MI13250,DEM,MI,1666003.3,Rashida Tlaib,U.S. House Michigan District 13,Representative,1.0,"('U.S. House Michigan District 13', 'Representative')",7,4298396.4399999995,0.3875871672739428
611,"TLAIB, RASHIDA",H8MI13250,DEM,MI,1666003.3,Rashida Tlaib,U.S. House Michigan District 13,Representative,0.0,"('U.S. House Michigan District 13', 'Representative')",7,4298396.4399999995,0.3875871672739428
612,"TOFT, STEVE",H8WI03103,REP,WI,305021.76,Steve Toft,U.S. House Wisconsin District 3,Representative,1.0,"('U.S. House Wisconsin District 3', 'Representative')",1,305021.76,1.0
613,"TORRES SMALL, XOCHITL",H8NM02248,DEM,NM,4810435.04,Xochitl Torres Small,U.S. House New Mexico District 2,Representative,1.0,"('U.S. House New Mexico District 2', 'Representative')",4,5891239.15,0.8165404454850556
615,"TRITCH, COURTNEY",H8IN03076,DEM,IN,859851.8,Courtney Tritch,U.S. House Indiana District 3,Representative,1.0,"('U.S. House Indiana District 3', 'Representative')",1,859851.8,1.0
616,"TURK, JACOB",H6MO05189,REP,MO,102642.92,Jacob Turk,U.S. House Missouri District 5,Representative,1.0,"('U.S. House Missouri District 5', 'Representative')",2,102642.92,1.0
617,"TYSON, CARYN",H8KS02157,REP,KS,629705.01,Caryn Tyson,U.S. House Kansas District 2,Representative,0.0,"('U.S. House Kansas District 2', 'Representative')",4,2172365.42,0.2898706654978885
618,"UEHLINGER, SCOTT",H8PA15237,REP,PA,118199.0,Scott Uehlinger,U.S. House Pennsylvania District 9,Representative,0.0,"('U.S. House Pennsylvania District 9', 'Representative')",4,1852313.19,0.06381156309749109
619,"VAETH , BRIAN",S2MD00487,REP,MD,0.0,Brian Vaeth,U.S. Senate Maryland,Senator,0.0,"('U.S. Senate Maryland', 'Senator')",6,41556.17,0.0
620,"VALENCIA, PEDRO",H8TX29060,DEM,TX,5598.35,Pedro Valencia,U.S. House Texas District 29,Representative,0.0,"('U.S. House Texas District 29', 'Representative')",4,64005.75,0.08746636044417885
621,"VALIENTE, CHRISTIAN",H8CA35115,REP,CA,7315.85,Christian Valiente,U.S. House California District 35,Representative,1.0,"('U.S. House California District 35', 'Representative')",1,7315.85,1.0
622,"VAN DREW, JEFF",H8NJ02166,DEM,NJ,1897308.6,Jeff Van Drew,U.S. House New Jersey District 2,Representative,1.0,"('U.S. House New Jersey District 2', 'Representative')",5,2492102.02,0.7613286232960881
623,"VAN PELT, TONY",H8IN07291,REP,IN,7145.65,Tony Van Pelt,U.S. House Indiana District 7,Representative,0.0,"('U.S. House Indiana District 7', 'Representative')",2,7145.65,1.0
624,"VANDERMAAS, JAMES",H8ID01165,DEM,ID,19204.87,James Vandermaas,U.S. House Idaho District 1,Representative,0.0,"('U.S. House Idaho District 1', 'Representative')",4,1111129.81,0.01728409212601361
626,"VELTMEYER, JAMES",H8CA52110,REP,CA,250657.35,James Veltmeyer,U.S. House California District 52,Representative,0.0,"('U.S. House California District 52', 'Representative')",3,1041020.89,0.2407803267041068
627,"VERBEEK, JOHN",H8OR01262,REP,OR,0.0,John Verbeek,U.S. House Oregon District 1,Representative,1.0,"('U.S. House Oregon District 1', 'Representative')",2,917.0,0.0
628,"VERCOLIO-OSMUND, BETH",H8IL16161,DEM,IL,13098.0,Beth Vercolio-Osmund,U.S. House Illinois District 16,Representative,0.0,"('U.S. House Illinois District 16', 'Representative')",2,395548.38,0.03311352204248694
629,"VILELA, AMY",H8NV04018,DEM,NV,198206.51,Amy Vilela,U.S. House Nevada District 4,Representative,0.0,"('U.S. House Nevada District 4', 'Representative')",6,1314661.66,0.15076617507808057
630,"VILLESCAZ, ANGELA",H8TX23162,DEM,TX,2535.0,Angela Villescaz,U.S. House Texas District 23,Representative,0.0,"('U.S. House Texas District 23', 'Representative')",3,6815741.25,0.00037193313346512385
632,"VOLOSIN, PETER",H8VA06070,DEM,VA,78262.91,Peter Volosin,U.S. House Virginia District 6,Representative,0.0,"('U.S. House Virginia District 6', 'Representative')",1,78262.91,1.0
633,"VROMAN, ROBERT",H8MO01184,REP,MO,100.0,Robert Vroman,U.S. House Missouri District 1,Representative,1.0,"('U.S. House Missouri District 1', 'Representative')",3,100.0,1.0
634,"VUKMIR, LEAH",S8WI00224,REP,WI,5852699.03,Leah Vukmir,U.S. Senate Wisconsin,Senator,1.0,"('U.S. Senate Wisconsin', 'Senator')",2,9746449.030000001,0.6004955252918405
635,"WALKER, PAUL",H8KY01074,DEM,KY,51853.84,Paul Walker,U.S. House Kentucky District 1,Representative,1.0,"('U.S. House Kentucky District 1', 'Representative')",2,51853.84,1.0
636,"WALKER, RICK",H8TX02125,REP,TX,602161.61,Rick Walker,U.S. House Texas District 2,Representative,0.0,"('U.S. House Texas District 2', 'Representative')",7,3785546.39,0.15906861202142075
639,"WALTZ, MICHAEL",H8FL06148,REP,FL,2197940.02,Michael Waltz,U.S. House Florida District 6,Representative,1.0,"('U.S. House Florida District 6', 'Representative')",3,3428782.15,0.641026441414483
640,"WALZ, JIM",H6IL14129,DEM,IL,15711.48,Jim Walz,U.S. House Illinois District 14,Representative,0.0,"('U.S. House Illinois District 14', 'Representative')",6,279346.48,0.05624370137042715
641,"WARD, JOHN",H8FL06122,REP,FL,1230842.13,John Ward,U.S. House Florida District 6,Representative,0.0,"('U.S. House Florida District 6', 'Representative')",3,3428782.15,0.358973558585517
642,"WARD, JOHN",H8SC07022,REP,SC,0.0,John Ward,U.S. House Florida District 6,Representative,0.0,"('U.S. House Florida District 6', 'Representative')",3,3428782.15,0.0
643,"WARD, KELLI",S6AZ00233,REP,AZ,3373275.28,Kelli Ward,U.S. Senate Arizona,Senator,0.0,"('U.S. Senate Arizona', 'Senator')",2,4829192.9,0.6985174023593052
644,"WARDLAW, PEGGY",H8TX21349,REP,TX,17095.0,Peggy Wardlaw,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.0028962161272593876
645,"WATKINS, STEVE",H8KS02199,REP,KS,1257752.91,Steve Watkins,U.S. House Kansas District 2,Representative,1.0,"('U.S. House Kansas District 2', 'Representative')",4,2172365.42,0.5789785173435508
646,"WATSON, LIZ",H8IN09107,DEM,IN,2534627.98,Liz Watson,U.S. House Indiana District 9,Representative,1.0,"('U.S. House Indiana District 9', 'Representative')",1,2534627.98,1.0
647,"WATTS, RYAN",H8NC06079,DEM,NC,340125.01,Ryan Watts,U.S. House North Carolina District 6,Representative,1.0,"('U.S. House North Carolina District 6', 'Representative')",2,340125.01,1.0
648,"WEBBER, JAY",H8NJ11217,REP,NJ,1669131.56,Jay Webber,U.S. House New Jersey District 11,Representative,1.0,"('U.S. House New Jersey District 11', 'Representative')",6,2942044.29,0.5673373326409032
649,"WEBER, GEORGE",H8IL14158,DEM,IL,17255.0,George Weber,U.S. House Illinois District 14,Representative,0.0,"('U.S. House Illinois District 14', 'Representative')",6,279346.48,0.06176916924100852
650,"WEGMAN, GARY",H6PA16338,DEM,PA,89271.53,Gary Wegman,U.S. House Pennsylvania District 9,Representative,0.0,"('U.S. House Pennsylvania District 9', 'Representative')",4,1852313.19,0.04819461983100169
651,"WEISS, MICHAEL",H8NV03168,DEM,NV,10070.75,Michael Weiss,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.0017768518980979232
652,"WELDER, BRENT",H8KS03122,DEM,KS,996963.1,Brent Welder,U.S. House Kansas District 3,Representative,0.0,"('U.S. House Kansas District 3', 'Representative')",5,7093256.309999999,0.14055083538916982
653,"WELLE, JOSH",H8NJ04188,DEM,NJ,1856255.36,Josh Welle,U.S. House New Jersey District 4,Representative,1.0,"('U.S. House New Jersey District 4', 'Representative')",1,1856255.36,1.0
654,"WESTBROOK, BRIANNA",H8AZ08059,DEM,AZ,42870.67,Brianna Westbrook,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.005639380754420779
655,"WESTIN, JASON",H8TX07132,DEM,TX,620911.73,Jason Westin,U.S. House Texas District 7,Representative,0.0,"('U.S. House Texas District 7', 'Representative')",3,2005288.95,0.30963703759500594
656,"WEXTON, JENNIFER",H8VA10106,DEM,VA,6172951.83,Jennifer Wexton,U.S. House Virginia District 10,Representative,1.0,"('U.S. House Virginia District 10', 'Representative')",3,7870400.1899999995,0.7843250255359633
657,"WHITE, TIMOTHY",H8OR02146,DEM,OR,10424.0,Timothy White,U.S. House Oregon District 2,Representative,0.0,"('U.S. House Oregon District 2', 'Representative')",5,270054.13,0.03859966888860392
658,"WILD, SUSAN",H8PA15229,DEM,PA,3320188.01,Susan Wild,U.S. House Pennsylvania District 7,Representative,1.0,"('U.S. House Pennsylvania District 7', 'Representative')",5,4261507.57,0.7791111374231349
659,"WILKINS, BECKY ANDERSON",H8IL06154,DEM,IL,323740.74,Becky Anderson Wilkins,U.S. House Illinois District 6,Representative,0.0,"('U.S. House Illinois District 6', 'Representative')",6,8244590.320000001,0.03926704996058554
660,"WILLIAMS, KATHLEEN",H8MT01232,DEM,MT,4160972.28,Kathleen Williams,U.S. House Montana At-large District,Representative,1.0,"('U.S. House Montana At-large District', 'Representative')",5,6107762.06,0.6812597215026415
661,"WILLIAMS, ROBERT",H8SC07063,DEM,SC,26214.29,Robert Williams,U.S. House South Carolina District 7,Representative,1.0,"('U.S. House South Carolina District 7', 'Representative')",2,79276.07,0.33067090737469707
662,"WILLIAMS, STEVE",H6MN01182,REP,MN,0.0,Steve Williams,U.S. House Minnesota District 1,Representative,0.0,"('U.S. House Minnesota District 1', 'Representative')",3,106892.27,0.0
663,"WILLIAMS, STEVE",H8WV03089,DEM,WV,106892.27,Steve Williams,U.S. House Minnesota District 1,Representative,0.0,"('U.S. House Minnesota District 1', 'Representative')",3,106892.27,1.0
664,"WILLIAMS, SYLVIA",H8KS03163,DEM,KS,317826.27,Sylvia Williams,U.S. House Kansas District 3,Representative,0.0,"('U.S. House Kansas District 3', 'Representative')",5,7093256.309999999,0.04480682159362152
665,"WILLIAMS, VANGIE",H8VA01303,DEM,VA,506912.95,Vangie Williams,U.S. House Virginia District 1,Representative,1.0,"('U.S. House Virginia District 1', 'Representative')",2,598954.35,0.8463298580267429
667,"WILSON, JENNY",S8UT00143,DEM,UT,960796.1,Jenny Wilson,U.S. Senate Utah,Senator,1.0,"('U.S. Senate Utah', 'Senator')",2,1713294.92,0.5607885068613873
668,"WILSON, JOHN",H8OH16199,DEM,OH,0.0,John Wilson,U.S. House Ohio District 16,Representative,0.0,"('U.S. House Ohio District 16', 'Representative')",4,938238.0800000001,0.0
669,"WILSON, KATIE",H8NY21252,DEM,NY,265858.31,Katie Wilson,U.S. House New York District 21,Representative,0.0,"('U.S. House New York District 21', 'Representative')",3,715162.9299999999,0.37174509310766435
670,"WILSON, KURTIS",H8CA23111,DEM,CA,12040.87,Kurtis Wilson,U.S. House California District 23,Representative,0.0,"('U.S. House California District 23', 'Representative')",3,155492.97999999998,0.07743674344655303
671,"WILT, ROBIN",H8NY25113,DEM,NY,76689.84,Robin Wilt,U.S. House New York District 25,Representative,0.0,"('U.S. House New York District 25', 'Representative')",2,111302.89,0.6890193057880168
672,"WINEINGER, MERRILEE",H8TN06144,DEM,TN,47006.71,Merrilee Wineinger,U.S. House Tennessee District 6,Representative,0.0,"('U.S. House Tennessee District 6', 'Representative')",4,398608.39999999997,0.11792704318323448
673,"WINFIELD, RICHARD DIEN",H8GA10171,DEM,GA,119100.64,Richard Dien Winfield,U.S. House Georgia District 10,Representative,0.0,"('U.S. House Georgia District 10', 'Representative')",2,143873.79,0.8278133216619927
675,"WOLFF, DENNY",H8PA11095,DEM,PA,1620536.24,Denny Wolff,U.S. House Pennsylvania District 9,Representative,1.0,"('U.S. House Pennsylvania District 9', 'Representative')",4,1852313.19,0.8748716193075319
676,"WOLKOWICZ, STEPHAN",H8CA36188,REP,CA,15038.32,Stephan Wolkowicz,U.S. House California District 36,Representative,0.0,"('U.S. House California District 36', 'Representative')",4,878444.34,0.017119263355945807
677,"WONG, GERALD",H8NC06095,DEM,NC,0.0,Gerald Wong,U.S. House North Carolina District 6,Representative,0.0,"('U.S. House North Carolina District 6', 'Representative')",2,340125.01,0.0
678,"WOODSMALL, STEVE",H8NC11129,DEM,NC,13478.34,Steve Woodsmall,U.S. House North Carolina District 11,Representative,0.0,"('U.S. House North Carolina District 11', 'Representative')",3,314427.19,0.0428663309938304
679,"WRIGHT, JASON",H8TX05136,REP,TX,146579.87,Jason Wright,U.S. House Texas District 5,Representative,0.0,"('U.S. House Texas District 5', 'Representative')",4,2286881.9,0.06409595091027656
680,"WRIGHT, KENNETH",H6CA33106,REP,CA,164786.01,Kenneth Wright,U.S. House California District 33,Representative,1.0,"('U.S. House California District 33', 'Representative')",1,164786.01,1.0
681,"WRIGHT, PAUL",H6NC12089,REP,NC,0.0,Paul Wright,U.S. House North Carolina District 12,Representative,1.0,"('U.S. House North Carolina District 12', 'Representative')",3,13304.0,0.0
682,"WRIGHT, THERESA",H8PA07259,DEM,PA,9395.0,Theresa Wright,U.S. House Pennsylvania District 5,Representative,0.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.0024209299165191727
683,"WYNES, JEREMY",H8IL10123,REP,IL,426593.26,Jeremy Wynes,U.S. House Illinois District 10,Representative,0.0,"('U.S. House Illinois District 10', 'Representative')",1,426593.26,1.0
684,"YATES, MARK",H8AZ08216,REP,AZ,0.0,Mark Yates,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.0
685,"YHAP, MEDRICK",H8TX03115,DEM,TX,8050.0,Medrick Yhap,U.S. House Texas District 3,Representative,0.0,"('U.S. House Texas District 3', 'Representative')",4,61895.74,0.13005741590616737
686,"YOUNGBLOOD, TANZIE",H8NJ02141,DEM,NJ,114751.62,Tanzie Youngblood,U.S. House New Jersey District 2,Representative,0.0,"('U.S. House New Jersey District 2', 'Representative')",5,2492102.02,0.04604611652295037
687,"YU, PETER",H8CO02251,REP,CO,67708.0,Peter Yu,U.S. House Colorado District 2,Representative,1.0,"('U.S. House Colorado District 2', 'Representative')",1,67708.0,1.0
688,"ZARKADES, TONY",H8CA48050,DEM,CA,2200.0,Tony Zarkades,U.S. House California District 48,Representative,0.0,"('U.S. House California District 48', 'Representative')",5,3344733.0700000003,0.0006577505450980576
689,"ZUPAN, LAWRENCE",S8VT00141,REP,VT,168278.39,Lawrence Zupan,U.S. Senate Vermont,Senator,0.0,"('U.S. Senate Vermont', 'Senator')",2,168278.39,1.0
690,"ZWAHLEN, SUE",H8CA10183,DEM,CA,840266.61,Sue Zwahlen,U.S. House California District 10,Representative,0.0,"('U.S. House California District 10', 'Representative')",3,9637249.959999999,0.08718945897300355
