,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
759,Brad Boivin,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,,,1.5,No,No,No,,,,No,,,,,,,,
760,Steve Toft,WI,U.S. House Wisconsin District 3,Representative,Regular,8/14/18,Advanced,,On the Ballot,100.0,Yes,Yes,No,,,,Yes,,,,,,,,
761,Tim Rogers,WI,U.S. House Wisconsin District 4,Representative,Regular,8/14/18,Advanced,,On the Ballot,55.6,Yes,,No,,,,No,,,,,,,,
762,Cindy Werner,WI,U.S. House Wisconsin District 4,Representative,Regular,8/14/18,Lost,,,44.4,No,,No,,,,Yes,,,,,,,,
763,Leah Vukmir,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Advanced,,On the Ballot,49.0,Yes,,No,No,No,Yes,Yes,,No,,,,,,
764,Kevin Nicholson,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,42.9,No,,No,Yes,Yes,No,Yes,,Yes,,,,,,
765,Griffin Jones,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,2.0,No,,No,No,No,No,No,,No,,,,,,
766,Charles Barman,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,1.8,No,,No,No,No,No,No,,No,,,,,,
767,George Lucia,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,4.2,No,,No,No,No,No,No,,No,,,,,,
768,Mark Gordon,WY,Governor of Wyoming,Governor,Regular,8/21/18,Advanced,,On the Ballot,33.4,Yes,,No,,,,No,,,,,,,,
769,Bill Dahlin,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,1.5,No,,No,,,,No,,,,,,,,
770,Harriet Hageman,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,21.5,No,,No,,,,Yes,,,,,,,,
771,Sam Galeotos,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,12.5,No,,No,,,,Yes,,,,,,,,
772,Foster Friess,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,25.6,No,,Yes,,,,Yes,,,,,,,,
773,Taylor Haynes,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,5.6,No,,No,,,,Yes,,,,,,,,
